PROJECT;SEQUENCE;STEP;PIN0;PIN1;PIN3;PIN4;PIN5;PIN6;PIN8;PIN10;PIN11;PIN16;PIN17;PIN18;PIN20;PIN21;PIN22;PIN24;PIN25;PIN26;T0;T1;T3;T4;T5;T6;T8;T10;T11;T16;T17;T18;T20;T21;T22;T24;T25;T26;TMAX;TTOTAL;INFO1
Robusta;18;2;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-25,49;-22,30;1,62;-13,07;15,08;0,00;-81,75;-62,70;-1,62;-13,07;15,08;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri03
Robusta;18;3;-17,5;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri03
Robusta;18;4;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-61,07;-24,09;-33,76;0,00;-81,75;-62,70;61,07;-24,09;-33,76;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri03
Robusta;19;1;-17,5;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;-17,50;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri04
Robusta;19;2;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-25,49;-22,30;3,52;-8,47;24,75;0,00;-81,75;-62,70;-3,52;-8,47;24,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri04
Robusta;19;3;-17,5;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri04
Robusta;19;4;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-69,90;-24,27;-33,36;0,00;-81,75;-62,70;69,90;-24,27;-33,36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri04
Robusta;20;1;-17,5;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;-17,50;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri12
Robusta;20;2;-28,84;-25,47;-28,86;0,00;-81,75;-62,70;28,84;-25,47;-28,86;-3,00;-19,70;-0,64;0,00;-81,75;-62,70;3,00;-19,70;-0,64;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri12
Robusta;20;3;-17,5;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri12
Robusta;20;4;-9,16;-23,71;-12,92;0,00;-81,75;-62,70;9,16;-23,71;-12,92;-43,67;-24,57;-32,63;0,00;-81,75;-62,70;43,67;-24,57;-32,63;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri12
